$No   X       Y       Z      NREF
11    0.240   0.240   0.000  1
12    0.240   -0.240  0.000  2
13    -0.240  -0.240  0.000  3
14    -0.240  0.240   0.000  4
15    0.240   0.240   0.000  5
16    0.240   0.240   0.000  6
17    0.240   2.800   0.000  5
18    -0.240  2.800   0.000  4
31  0.000   0.000   -3.000  11
32  0.000   0.000   -3.000  12
33  0.000   0.000   -3.000  13
34  0.000   0.000   -3.000  14
35  0.000   0.000   -3.000  15
36  0.000   0.000   -3.000  16
37  0.000   0.000   -3.000  17
38  0.000   0.000   -3.000  18
50  1.500   0.000   0.000   17
51  2.500   0.000   0.000   17
52  2.500   0.000   -2.000  17
53  1.500   0.000   -2.000  17

